image,iou,dice,pred_pixels,gt_pixels,width,height,prediction_mask
osoba 1 - michal\i1.jpg,0.486763,0.654796,10825,5293,512,512,output\segmentation\predicted_masks\osoba 1 - michal\i1.png
osoba 1 - michal\i2.jpg,0.339857,0.507304,134271,45633,512,512,output\segmentation\predicted_masks\osoba 1 - michal\i2.png
osoba 1 - michal\i3.JPG,0.472876,0.642113,77406,36655,512,512,output\segmentation\predicted_masks\osoba 1 - michal\i3.png
osoba 1 - michal\i4.JPG,0.317683,0.482185,68582,21902,512,512,output\segmentation\predicted_masks\osoba 1 - michal\i4.png
osoba 1 - michal\i5.JPG,0.441001,0.612076,89863,39683,512,512,output\segmentation\predicted_masks\osoba 1 - michal\i5.png
osoba 10 - marika\i1.JPG,0.405889,0.577412,15941,6549,341,512,output\segmentation\predicted_masks\osoba 10 - marika\i1.png
osoba 10 - marika\i2.JPG,0.388386,0.559478,5560,2258,512,341,output\segmentation\predicted_masks\osoba 10 - marika\i2.png
osoba 10 - marika\i3.JPG,0.464134,0.634004,11099,5393,341,512,output\segmentation\predicted_masks\osoba 10 - marika\i3.png
osoba 10 - marika\i4.JPG,0.417808,0.589371,11883,5203,341,512,output\segmentation\predicted_masks\osoba 10 - marika\i4.png
osoba 10 - marika\i5.JPG,0.083778,0.154603,3130,2355,341,512,output\segmentation\predicted_masks\osoba 10 - marika\i5.png
osoba 11 - maciek\i1.jpg,0.360609,0.530070,58770,21193,512,512,output\segmentation\predicted_masks\osoba 11 - maciek\i1.png
osoba 11 - maciek\i2.JPG,0.557233,0.715671,56663,31643,512,438,output\segmentation\predicted_masks\osoba 11 - maciek\i2.png
osoba 11 - maciek\i3.JPG,0.000000,0.000000,21068,2804,512,341,output\segmentation\predicted_masks\osoba 11 - maciek\i3.png
osoba 11 - maciek\i4.JPG,0.000000,0.000000,0,12420,512,386,output\segmentation\predicted_masks\osoba 11 - maciek\i4.png
osoba 11 - maciek\i5.JPG,0.616012,0.762385,10170,6281,341,512,output\segmentation\predicted_masks\osoba 11 - maciek\i5.png
osoba 12 - piekny i boski\i1.JPG,0.433453,0.604768,38950,16883,341,512,output\segmentation\predicted_masks\osoba 12 - piekny i boski\i1.png
osoba 12 - piekny i boski\i2.JPG,0.691865,0.817872,23131,16237,341,512,output\segmentation\predicted_masks\osoba 12 - piekny i boski\i2.png
osoba 12 - piekny i boski\i3.JPG,0.383349,0.554233,44633,17110,384,512,output\segmentation\predicted_masks\osoba 12 - piekny i boski\i3.png
osoba 12 - piekny i boski\i4.JPG,0.508366,0.674062,180128,91571,384,512,output\segmentation\predicted_masks\osoba 12 - piekny i boski\i4.png
osoba 12 - piekny i boski\i5.JPG,0.382156,0.552985,7913,3024,512,288,output\segmentation\predicted_masks\osoba 12 - piekny i boski\i5.png
osoba 13 - Krzysiek\i1.JPG,0.630978,0.773742,45691,28830,384,512,output\segmentation\predicted_masks\osoba 13 - Krzysiek\i1.png
